Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
3;Métro;GARE DE LYON;28640475;1;14;A;;;Paris;12
12;Métro;BELLEVILLE;7314438;2;11;;;;Paris;10
32;Métro;OPERA;5193831;3;7;8;;;Paris;9
58;Métro;SAINT-MANDE-TOURELLE;3944640;1;;;;;Saint Mandé;
59;Métro;HOCHE;3928404;5;;;;;Pantin;
61;Métro;BERCY;3884212;6;14;;;;Paris;12
70;Métro;DAUMESNIL;3634023;6;8;;;;Paris;12
74;Métro;SAINT-DENIS-UNIVERSITE;3569990;13;;;;;Saint Denis;
95;Métro;BALARD;3236801;8;;;;;Paris;15
97;Métro;PEREIRE;3130190;3;;;;;Paris;17
102;Métro;CHARLES MICHELS;3079569;10;;;;;Paris;15
104;Métro;COLONEL FABIEN;3043606;2;;;;;Paris;10
107;Métro;GLACIERE;3005750;6;;;;;Paris;13
108;Métro;RICHELIEU-DROUOT;2994510;8;9;;;;Paris;9
118;Métro;MENILMONTANT;2847264;2;;;;;Paris;11
122;Métro;LES COURTILLES;2802689;13;;;;;Asnières sur Seine;
125;Métro;PORTE DE SAINT-OUEN;2710638;13;;;;;Paris;17
146;Métro;PLACE DES FETES;2318764;7bis;11;;;;Paris;19
151;Métro;PYRENEES;2288587;11;;;;;Paris;20
159;Métro;GONCOURT;2199170;11;;;;;Paris;11
160;Métro;FAIDHERBE-CHALIGNY;2190416;8;;;;;Paris;12
163;Métro;BLANCHE;2167570;2;;;;;Paris;9
164;Métro;CHARENTON-ECOLES;2164023;8;;;;;Charenton;
165;Métro;SAINT-AMBROISE;2158466;9;;;;;Paris;11
167;Métro;RAMBUTEAU;2127291;11;;;;;Paris;3
176;Métro;DUPLEIX;2028963;6;;;;;Paris;15
192;Métro;LOUVRE;1869612;1;;;;;Paris;1
195;Métro;CADET;1843984;7;;;;;Paris;9
202;Métro;QUAI DE LA GARE;1735465;6;;;;;Paris;13
206;Métro;ETIENNE MARCEL;1705639;4;;;;;Paris;1
208;Métro;MAISONS-ALFORT-STADE;1702479;8;;;;;Maisons -Alfort;
214;Métro;CRETEIL-L'ECHAT;1660120;8;;;;;Créteil;
215;Métro;IENA;1646925;9;;;;;Paris;16
218;Métro;CAMBRONNE;1636566;6;;;;;Paris;15
219;Métro;EXELMANS;1607223;9;;;;;Paris;16
220;Métro;BEL AIR;1605573;6;;;;;Paris;12
226;Métro;CORVISART;1570331;6;;;;;Paris;13
240;Métro;BUZENVAL;1448855;9;;;;;Paris;20
242;Métro;RUE DU BAC;1423364;12;;;;;Paris;7
252;Métro;MAISONS-ALFORT-LES JUILLIOTTES;1297495;8;;;;;Maisons -Alfort;
254;Métro;MAUBERT-MUTUALITE;1280387;10;;;;;Paris;5
256;Métro;PHILIPPE AUGUSTE;1262653;2;;;;;Paris;11
258;Métro;SEVRES-LECOURBE;1257040;6;;;;;Paris;15
268;Métro;MONCEAU;1148677;2;;;;;Paris;17
273;Métro;CARDINAL LEMOINE;1121854;10;;;;;Paris;5
288;Métro;RENNES;861334;12;;;;;Paris;6
292;Métro;VANEAU;725826;10;;;;;Paris;7
293;Métro;KLEBER;724215;6;;;;;Paris;16
294;Métro;BOTZARIS;669323;7bis;;;;;Paris;19
301;Métro;BOLIVAR;367598;7bis;;;;;Paris;19
305;Métro;EGLISE D'AUTEUIL;124941;10;;;;;Paris;16
14;RER;NOISY-CHAMPS;4424587;A;;;;;Champs-sur-Marne;
16;RER;RUEIL-MALMAISON;4247217;A;;;;;Rueil-Malmaison;
27;RER;NANTERRE-VILLE;2993230;A;;;;;Nanterre;
36;RER;PORT ROYAL;2327686;B;;;;;Paris;5
38;RER;BOISSY-SAINT-LEGER;2197101;A;;;;;Boissy-Saint-Léger;
52;RER;LE VESINET-CENTRE;974465;A;;;;;Le Vésinet;
53;RER;FONTENAY-AUX-ROSES;888408;B;;;;;Fontenay aux roses;
56;RER;PALAISEAU-VILLEBON;591438;B;;;;;Palaiseau;
63;RER;COURCELLE-SUR-YVETTE;394292;B;;;;;Gif sur Yvette;
4;Métro;MONTPARNASSE-BIENVENUE;20407224;4;6;12;13;;Paris;14
8;Métro;LES HALLES;10623876;4;;;;;Paris;1
14;Métro;PLACE D'ITALIE;7119097;5;6;7;;;Paris;13
16;Métro;STRASBOURG-SAINT-DENIS;6345770;4;8;9;;;Paris;2
22;Métro;CHATEAU ROUGE;5841122;4;;;;;Paris;18
24;Métro;PORTE DE CLIGNANCOURT;5611814;4;;;;;Paris;18
25;Métro;PORTE DE VINCENNES;5446602;1;;;;;Paris;12
27;Métro;MADELEINE;5330928;8;12;14;;;Paris;8
29;Métro;PORTE DE CLICHY;5278497;13;14;;;;Paris;17
33;Métro;PLACE CLICHY;5161932;2;13;;;;Paris;17
34;Métro;LA MOTTE-PICQUET-GRENELLE;5117708;6;8;10;;;Paris;15
38;Métro;LA CHAPELLE;4855531;2;;;;;Paris;9
45;Métro;MAIRIE DE MONTROUGE;4316647;4;;;;;Montrouge;
48;Métro;CHAUSSEE D'ANTIN-LA FAYETTE;4251916;7;9;;;;Paris;9
49;Métro;PORTE D'ORLEANS;4175817;4;;;;;Paris;14
51;Métro;PORTE MAILLOT;4138301;1;;;;;Paris;16
52;Métro;JAURES;4055461;2;5;7bis;;;Paris;19
60;Métro;GALLIENI;3899195;3;;;;;Bagnolet;
71;Métro;CHATEAU DE VINCENNES;3617738;1;;;;;Vincennes;
73;Métro;REAUMUR-SEBASTOPOL;3579544;3;4;;;;Paris;3
83;Métro;PONT DE SEVRES;3430203;9;;;;;Boulogne Billancourt;
87;Métro;PORTE DE VANVES;3395358;13;;;;;Paris;14
88;Métro;SEVRES-BABYLONE;3392504;10;12;;;;Paris;7
89;Métro;PORTE DE PANTIN;3374733;5;;;;;Paris;19
103;Métro;PORTE DE MONTREUIL;3067413;9;;;;;Paris;20
106;Métro;LA MUETTE;3010370;9;;;;;Paris;16
110;Métro;COUR SAINT-EMILION;2985122;14;;;;;Paris;12
114;Métro;JUSSIEU;2889642;7;10;;;;Paris;5
115;Métro;MAIRIE D'ISSY;2874138;12;;;;;Issy Les Moulineaux;
119;Métro;EGLISE DE PANTIN;2832467;5;;;;;Pantin;
120;Métro;BONNE NOUVELLE;2806227;8;9;;;;Paris;10
124;Métro;CHEVALERET;2748696;6;;;;;Paris;13
127;Métro;CHARONNE;2705320;9;;;;;Paris;12
132;Métro;ALMA-MARCEAU;2564842;9;;;;;Paris;8
135;Métro;CRETEIL-UNIVERSITE;2496595;8;;;;;Créteil;
148;Métro;POISSONNIERE;2306725;7;;;;;Paris;10
153;Métro;TOLBIAC;2287918;7;;;;;Paris;13
154;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;2269487;8;;;;;Maisons -Alfort;
156;Métro;SENTIER;2222744;3;;;;;Paris;3
157;Métro;COMMERCE;2212666;8;;;;;Paris;15
162;Métro;PERNETY;2173567;13;;;;;Paris;14
182;Métro;VILLEJUIF-LEO LAGRANGE;1952627;7;;;;;Villejuif;
184;Métro;SAINT-PHILIPPE-DU-ROULE;1935004;9;;;;;Paris;8
188;Métro;NOTRE-DAME-DE-LORETTE;1893828;12;;;;;Paris;9
204;Métro;DUGOMMIER;1725412;6;;;;;Paris;12
213;Métro;SAINT-MARCEL;1666744;5;;;;;Paris;13
221;Métro;PORTE DE CHOISY;1592144;7;;;;;Paris;13
223;Métro;RIQUET;1588438;7;;;;;Paris;19
228;Métro;RICHARD LENOIR;1544636;5;;;;;Paris;11
230;Métro;CARREFOUR PLEYEL;1535528;13;;;;;Saint Denis;
231;Métro;PORTE DE CHARENTON;1529778;8;;;;;Paris;12
248;Métro;EDGAR QUINET;1349178;6;;;;;Paris;14
249;Métro;AVRON;1345521;2;;;;;Paris;11
253;Métro;PORTE D'IVRY;1282199;7;;;;;Paris;13
264;Métro;PONT NEUF;1188930;7;;;;;Paris;4
271;Métro;MOUTON-DUVERNET;1131403;4;;;;;Paris;14
276;Métro;PONT MARIE;1101482;7;;;;;Paris;4
277;Métro;PIERRE CURIE;1100552;7;;;;;Ivry;
279;Métro;FILLES DU CALVAIRE;1093673;8;;;;;Paris;3
282;Métro;CHEMIN VERT;1018958;8;;;;;Paris;11
286;Métro;PICPUS;931602;6;;;;;Paris;12
287;Métro;TEMPLE;891858;3;;;;;Paris;2
289;Métro;QUAI DE LA RAPEE;798728;5;;;;;Paris;12
299;Métro;DANUBE;400157;7bis;;;;;Paris;19
303;Métro;PRE-SAINT-GERVAIS;282626;7bis;;;;;Paris;19
1;RER;GARE DU NORD-RER;32102825;B;;;;;Paris;10
2;RER;GARE DE LYON-RER;27505309;A;;;;;Paris;12
13;RER;NEUILLY-PLAISANCE;4680493;A;;;;;Neuilly-sur-Seine;
25;RER;JOINVILLE-LE-PONT;3034093;A;;;;;Joinville-le-Pont;
33;RER;NOGENT-SUR-MARNE;2358276;A;;;;;Nogent-sur-Marne;
43;RER;BAGNEUX;1742783;B;;;;;Cachan;
44;RER;LE PARC DE SAINT-MAUR;1617366;A;;;;;Saint-Maur des Fossés;
54;RER;PALAISEAU;694838;B;;;;;Palaiseau;
60;RER;FONTAINE-MICHALON;473408;B;;;;;Antony;
6;Métro;BIBLIOTHEQUE;11104474;14;;;;;Paris;13
10;Métro;CHATELET;8350794;1;4;7;11;14;Paris;1
15;Métro;BOBIGNY-PABLO PICASSO;6561327;5;;;;;Bobigny;
17;Métro;GARE D'AUSTERLITZ;6318543;5;10;;;;Paris;13
21;Métro;HAVRE-CAUMARTIN;5894982;3;9;;;;Paris;9
23;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;5616435;7;;;;;Aubervilliers;
28;Métro;TROCADERO;5284134;6;9;;;;Paris;16
31;Métro;OLYMPIADES;5214595;14;;;;;Paris;13
36;Métro;STALINGRAD;4924583;2;5;7;;;Paris;19
37;Métro;LA COURNEUVE-8 MAI 1945;4924444;7;;;;;La Courneuve;
41;Métro;PONT DE NEUILLY;4809503;1;;;;;Neuilly Sur Seine;
42;Métro;GAMBETTA;4796724;3;3bis;;;;Paris;20
43;Métro;ESPLANADE DE LA DEFENSE;4708183;1;;;;;Puteaux;
46;Métro;SAINT-PAUL;4295823;1;;;;;Paris;4
47;Métro;CHARLES DE GAULLE-ETOILE;4291663;1;2;6;;;Paris;8
57;Métro;LES SABLONS;3954920;1;;;;;Neuilly Sur Seine;
64;Métro;GABRIEL PERI;3790573;13;;;;;Asnières;
65;Métro;SAINT-MICHEL;3747385;4;;;;;Paris;5
68;Métro;CROIX DE CHAVAUX;3729545;9;;;;;Montreuil;
69;Métro;MIROMESNIL;3647255;9;13;;;;Paris;8
75;Métro;CRIMEE;3543952;7;;;;;Paris;19
79;Métro;INVALIDES;3482080;8;13;;;;Paris;7
81;Métro;PERE LACHAISE;3465307;2;3;;;;Paris;20
82;Métro;VOLTAIRE;3454006;9;;;;;Paris;11
91;Métro;SAINT-DENIS-PORTE DE PARIS;3355836;13;;;;;Saint Denis;
93;Métro;PORTE DE VERSAILLES;3268157;12;;;;;Paris;15
109;Métro;ROBESPIERRE;2986308;9;;;;;Montreuil;
130;Métro;DUROC;2645064;10;13;;;;Paris;7
136;Métro;VAUGIRARD;2482886;12;;;;;Paris;15
138;Métro;RUE DE LA POMPE;2449458;9;;;;;Paris;16
139;Métro;MARX DORMOY;2425928;12;;;;;Paris;18
142;Métro;SAINT-GERMAIN DES PRES;2378860;4;;;;;Paris;6
144;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2335465;5;;;;;Pantin;
152;Métro;BOUCICAUT;2288055;8;;;;;Paris;15
166;Métro;COURONNES;2151515;2;;;;;Paris;11
168;Métro;CRETEIL-POINTE DU LAC;2114438;8;;;;;Créteil;
177;Métro;PORTE DAUPHINE;2021656;2;;;;;Paris;16
178;Métro;SAINT-MAUR;2004445;3;;;;;Paris;11
183;Métro;FRONT POPULAIRE;1948542;12;;;;;Saint Denis / Aubervilliers;
193;Métro;PORTE DE LA CHAPELLE;1866281;12;;;;;Paris;18
